"SourcePath","RelativePath","FileName","Stem","Length","LastWriteTime","SHA256","Hash8","Managed","AssemblyName","Version","Error"
"Samples/Mods/PresentationFramework.dll","Mods\PresentationFramework.dll","PresentationFramework.dll","PresentationFramework","5968384","06.05.2026 22:40:00","40FEE697DCABF7543C276BAD1A473377964224E8DCA87BA7ADB4E888C706078A","40FEE697","True","PresentationFramework","6.0.2.0",""
"Samples/Mods/SocketIOClient.dll","Mods\SocketIOClient.dll","SocketIOClient.dll","SocketIOClient","90624","06.05.2026 22:40:00","8D37BA5CEE2D5AC7A133A48CB92B555C6CB6B2B23CC2AE7AB45CC4C67C7A1DC2","8D37BA5C","True","SocketIOClient","3.0.8.0",""
"Samples/Mods/SpaceWizards.Lidgren.Network.dll","Mods\SpaceWizards.Lidgren.Network.dll","SpaceWizards.Lidgren.Network.dll","SpaceWizards.Lidgren.Network","180224","24.05.2026 21:56:24","3A9D41BBD2B0C14521DC46BE463AA373A1275574EC8693CFFCF77244A526B87F","3A9D41BB","True","SpaceWizards.Lidgren.Network","0.0.0.0",""
"Samples/Mods/System.Drawing.Common.dll","Mods\System.Drawing.Common.dll","System.Drawing.Common.dll","System.Drawing.Common","1493120","06.05.2026 22:40:00","96502314BA173A28729E2E1C2E65C42447ACD2E5A90F0F721C56AD8AE9FA38D5","96502314","True","System.Drawing.Common","7.0.0.0",""
"Samples/Mods/System.IO.Packaging.dll","Mods\System.IO.Packaging.dll","System.IO.Packaging.dll","System.IO.Packaging","23832","06.05.2026 22:40:00","08E66248C9E6649558D9E840AF41A07A4E5B00C6139842E278F7957F5BC1F384","08E66248","True","System.IO.Packaging","6.0.0.0",""
"Samples/Mods/System.Windows.Forms.dll","Mods\System.Windows.Forms.dll","System.Windows.Forms.dll","System.Windows.Forms","3247616","06.05.2026 22:40:00","2292F948108DD44C3382E91329A7B3E79488FA737A35907F8B1D32B5A6BE7D51","2292F948","True","System.Windows.Forms","1.0.0.0",""
"Samples/Mods/System.Xaml.dll","Mods\System.Xaml.dll","System.Xaml.dll","System.Xaml","566272","06.05.2026 22:40:00","29E6A4082ECAD4BBB81319C70BF348500DADA1C04412C49DA747765959EC8152","29E6A408","True","System.Xaml","6.0.2.0",""
"Samples/Mods/UIAutomationProvider.dll","Mods\UIAutomationProvider.dll","UIAutomationProvider.dll","UIAutomationProvider","21768","06.05.2026 22:40:00","12920B584280EBC5278FCEDE9F119AA4E519613006FA95BF4115378294006E0C","12920B58","True","UIAutomationProvider","6.0.2.0",""
"Samples/Mods/UIAutomationTypes.dll","Mods\UIAutomationTypes.dll","UIAutomationTypes.dll","UIAutomationTypes","31920","06.05.2026 22:40:00","FDC014EC4C4F1AEE74484407F73C8852D1B3DF9037885AF1BED7A1F8DE6E7666","FDC014EC","True","UIAutomationTypes","6.0.2.0",""
"Samples/Mods/WebView2Loader.dll","Mods\WebView2Loader.dll","WebView2Loader.dll","WebView2Loader","160320","06.05.2026 22:40:00","8427B1FC58EC707813E5C0A51EB5D69397BB333250A7B891BE4D3B123F1E0F1C","8427B1FC","False","","","MethodInvocationException: Exception calling ""GetAssemblyName"" with ""1"" argument(s): ""PE image does not have metadata."""
"Samples/Mods/WindowsBase.dll","Mods\WindowsBase.dll","WindowsBase.dll","WindowsBase","1047552","06.05.2026 22:40:00","181153DF3D869B38357454F0F66248F57F0611F7CC9D892B5A7B8B45DDB97B08","181153DF","True","WindowsBase","10.0.0.0",""
"Samples/Mods/WinRT.Runtime.dll","Mods\WinRT.Runtime.dll","WinRT.Runtime.dll","WinRT.Runtime","287624","06.05.2026 22:40:00","2238FECFEA07FCE5CEE748F3CE7EC8A59823A4571BE6F60A530BE8751D48BB35","2238FECF","True","WinRT.Runtime","1.0.1.33301",""
