"RelativePath","FileName","Length","SHA256","Hash8","Managed","AssemblyName","Version","Error"
"DLLs\NEW\patches\UpNoOverlay.dll","UpNoOverlay.dll","7168","50B1E84D92184081115E61ABCBEB958AA49034A2A9B977DA98A968F1D97B106D","50B1E84D","True","UpNoOverlay","1.0.0.0",""
"DLLs\NEW\patches\Zazi4kaMod_1.dll","Zazi4kaMod_1.dll","5632","91BCD5C2FCDFC031122AB066F05D8EE2D5606EE5DD20F244075CF806A3A72D71","91BCD5C2","True","Zazi4kaMod","1.0.0.0",""
"DLLs\NEW\photoTroll\photoTroll.dll","photoTroll.dll","217088","BB32043EE3EC70D21B5D60A8BAA01CD2B16FF1C1D22D59BB95C32C326A2581D6","BB32043E","True","photoTroll","1.0.0.0",""
"DLLs\NEW\RRTBypass.dll","RRTBypass.dll","6144","FB48568C7FB481B478C1B4B619CC639283812A4FF247713BC000E87E03F58561","FB48568C","True","RRTBypass","1.0.0.0",""
"DLLs\NEW\Sander\bin\publish\linux\0Harmony.dll","0Harmony.dll","2085376","817B0127F0F512122A0E0F8CAB1D89C6431F6533898E473BBECDC61846CF945C","817B0127","True","0Harmony","2.3.6.0",""
"DLLs\NEW\Sander\bin\publish\windows\0Harmony.dll","0Harmony.dll","2085376","817B0127F0F512122A0E0F8CAB1D89C6431F6533898E473BBECDC61846CF945C","817B0127","True","0Harmony","2.3.6.0",""
"DLLs\NEW\Sander\bin\publish\windows\Content.Client.dll","Content.Client.dll","4028928","A47D54EF3343343803325376E709C06CC14B3139BEEDA094A3EC9E2789EC1912","A47D54EF","True","Content.Client","1.0.0.0",""
"DLLs\NEW\Sander\bin\publish\windows\Content.Shared.dll","Content.Shared.dll","6173184","C6376D41B5CD023BD358307A4231E3CDE70E0D67316313AE41A6B26B9000FD5D","C6376D41","True","Content.Shared","1.0.0.0",""
"DLLs\NEW\Sander\bin\publish\windows\Robust.Client.dll","Robust.Client.dll","1751040","48BAD9D8F1E8C1BDC4A0D4C10FE6CC851910416C47055BBF76730DD1C3D026B1","48BAD9D8","True","Robust.Client","268.0.0.0",""
"DLLs\NEW\Sander\bin\publish\windows\Robust.Shared.dll","Robust.Shared.dll","2821632","CC13C87208811E89E43DFE63F9EB9AC1BAE82CBF120C0042EAFE2C0411D6202A","CC13C872","True","Robust.Shared","268.0.0.0",""
"DLLs\NEW\Sander\bin\publish\windows\Robust.Shared.Maths.dll","Robust.Shared.Maths.dll","93696","F146DE4FFB34C171824D5DCAD55B61EC43CD0EBB1E5AD77B7DC3DD91E742BEB1","F146DE4F","True","Robust.Shared.Maths","268.0.0.0",""
"DLLs\NEW\Sander\bin\publish\windows\Sander.dll","Sander.dll","47616","B6D170E60F78034AD31FCE1D2D1CE7F35B2F24CD661DFEAF2F15F566E4B9B59F","B6D170E6","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Debug\net9.0\ref\Sander.dll","Sander.dll","10752","89F5F3EDD41EA06AF3DB5D20C0CD4948C7FE2C619929399A304D2F7654E1D978","89F5F3ED","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Debug\net9.0\refint\Sander.dll","Sander.dll","10752","89F5F3EDD41EA06AF3DB5D20C0CD4948C7FE2C619929399A304D2F7654E1D978","89F5F3ED","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Debug\net9.0\Sander.dll","Sander.dll","36352","A5DB2DBC10588746DC627586AF1C98BC07C02E39E19DFEF282BCD140787AA518","A5DB2DBC","True","Sander","1.0.0.0",""
